name,slug,description,basePrice,isActive,brand,weight,dimensions,material,careInstructions,categoryId
"Essential Pink T-Shirts","essential-pink-men-t-shirts-1","Essential men's t-shirts in Pink. Made with 100% Cotton for ultimate comfort and style.","138.14",true,"UrbanStyle","1.1","42x16x7 cm","100% Cotton","Machine wash cold, tumble dry low","men-tshirts"
"Classic White T-Shirts","classic-white-men-t-shirts-2","Classic men's t-shirts in White. Made with 100% Cotton for ultimate comfort and style.","144.92",true,"UrbanStyle","0.7","29x21x7 cm","100% Cotton","Machine wash cold, tumble dry low","men-tshirts"
"Classic Pink Tank Tops","classic-pink-men-tank-tops-1","Classic men's tank tops in Pink. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","149.83",true,"StyleLife","0.2","43x30x3 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","men-tank-tops"
"Urban Gray Tank Tops","urban-gray-men-tank-tops-2","Urban men's tank tops in Gray. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","46.60",true,"StyleLife","0.7","22x15x2 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-tank-tops"
"Classic Green Hoodies","classic-green-men-hoodies-1","Classic men's hoodies in Green. Made with 95% Polyester 5% Spandex for ultimate comfort and style.","74.07",true,"Elegance","1.0","42x15x6 cm","95% Polyester 5% Spandex","Machine wash cold, tumble dry low","men-hoodies"
"Elegant Pink Hoodies","elegant-pink-men-hoodies-2","Elegant men's hoodies in Pink. Made with 95% Cotton 5% Elastane for ultimate comfort and style.","114.46",true,"Elegance","1.2","41x16x5 cm","95% Cotton 5% Elastane","Machine wash cold, tumble dry low","men-hoodies"
"Classic Black Jackets","classic-black-men-jackets-1","Classic men's jackets in Black. Made with 100% Cotton for ultimate comfort and style.","54.94",true,"SportFit","1.0","21x17x5 cm","100% Cotton","Machine wash cold, tumble dry low","men-jackets"
"Elegant Gray Jackets","elegant-gray-men-jackets-2","Elegant men's jackets in Gray. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","112.49",true,"SportFit","0.4","42x33x2 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","men-jackets"
"Urban Green Joggers","urban-green-men-joggers-1","Urban men's joggers in Green. Made with 80% Cotton 20% Polyester for ultimate comfort and style.","135.73",true,"Elegance","0.6","31x24x7 cm","80% Cotton 20% Polyester","Machine wash cold, tumble dry low","men-joggers"
"Essential Yellow Joggers","essential-yellow-men-joggers-2","Essential men's joggers in Yellow. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","103.82",true,"Elegance","0.6","24x30x7 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-joggers"
"Urban White Sweatpants","urban-white-men-sweatpants-1","Urban men's sweatpants in White. Made with 90% Cotton 10% Spandex for ultimate comfort and style.","75.99",true,"SportFit","0.7","24x18x6 cm","90% Cotton 10% Spandex","Machine wash cold, tumble dry low","men-sweatpants"
"Casual Gray Sweatpants","casual-gray-men-sweatpants-2","Casual men's sweatpants in Gray. Made with 70% Cotton 30% Polyester for ultimate comfort and style.","21.54",true,"FashionPro","0.6","43x33x5 cm","70% Cotton 30% Polyester","Machine wash cold, tumble dry low","men-sweatpants"
